SettlementPoint,Date,mean,min,max,std,vol
HB_BUSAVG,2016-01,19.209301075268822,5.12,54.69,5.485210390097427,0.13196148388613432
HB_BUSAVG,2016-02,15.288247126436788,1.79,50.98,5.77717217692724,0.1903866529599584
HB_BUSAVG,2016-03,16.755625841184376,1.22,64.31,7.3684968755391385,0.1913553527458918
HB_BUSAVG,2016-04,18.289347222222197,1.18,93.09,9.50614273208801,0.20219643160708706
HB_BUSAVG,2016-05,18.15958333333335,3.03,73.61,8.017220813376365,0.14128550820710162
HB_BUSAVG,2016-06,23.90981944444443,4.02,110.72,11.305436288586222,0.12740161783763956
HB_BUSAVG,2016-07,27.187473118279588,7.61,99.29,12.406065835499751,0.12499663124322828
HB_BUSAVG,2016-08,30.567137096774225,13.39,230.02,27.151558087844595,0.14957435694593313
HB_BUSAVG,2016-09,26.861750000000033,10.89,202.4,14.90429817289045,0.10685477097397102
HB_BUSAVG,2016-10,25.2048387096774,2.92,274.77,16.327119599882366,0.16734011066487078
HB_BUSAVG,2016-11,19.244902777777792,2.3,48.65,6.3781515532879896,0.1593141209182403
HB_BUSAVG,2016-12,25.31830645161287,2.72,139.42,11.10530329739922,0.18340940049356858
HB_BUSAVG,2017-01,23.25278225806453,1.94,96.28,7.471612705493786,0.1746716053164463
HB_BUSAVG,2017-02,20.1178273809524,3.56,52.7,6.5382785335119165,0.15123640583278947
HB_BUSAVG,2017-03,22.569892328398367,4.92,78.44,7.988595981559287,0.11877549603006467
HB_BUSAVG,2017-04,23.70508333333335,8.37,81.08,7.768482147422767,0.10464645344991436
HB_BUSAVG,2017-05,25.087352150537626,4.66,65.3,7.952691485425814,0.11735751371549667
HB_BUSAVG,2017-06,27.669152777777793,15.22,82.18,11.114801167073596,0.09395822029047271
HB_BUSAVG,2017-07,31.45427419354836,16.64,257.04,17.838848649545902,0.113835921044301
HB_BUSAVG,2017-08,27.50701612903228,16.62,88.75,10.898581913248776,0.08537823797648679
HB_BUSAVG,2017-09,24.18416666666669,8.38,59.02,7.923659778393277,0.09128615116654597
HB_BUSAVG,2017-10,23.563279569892487,3.07,97.54,10.300630159991819,0.13897076580256837
HB_BUSAVG,2017-11,22.677458333333327,4.28,83.65,8.310512675527976,0.14090929962139281
HB_BUSAVG,2017-12,21.187956989247333,5.82,55.67,5.193307565046884,0.12527536925288318
HB_BUSAVG,2018-01,37.86967741935482,5.83,1660.04,87.56361308118343,0.19393919493843673
HB_BUSAVG,2018-02,21.854315476190465,5.09,73.49,7.541317693617221,0.16535284883087134
HB_BUSAVG,2018-03,22.561978465679648,7.34,69.97,8.357991123600051,0.14136685396040138
HB_BUSAVG,2018-04,23.142958333333308,6.22,53.44,7.366768766336837,0.12378578501942171
HB_BUSAVG,2018-05,34.00524193548385,8.49,541.31,38.31447037060386,0.1916924372613934
HB_BUSAVG,2018-06,29.96612499999997,15.16,114.07,14.658058238847637,0.10629682357231705
HB_BUSAVG,2018-07,78.85944892473117,9.9,2061.99,233.36169591636283,0.3492989662883243
HB_BUSAVG,2018-08,31.661559139784913,12.71,149.91,18.572329132601745,0.1263253894936807
HB_BUSAVG,2018-09,27.17544444444446,14.59,88.96,10.510967505928202,0.08530106914285289
HB_BUSAVG,2018-10,29.95782258064515,10.32,95.21,10.169829781404724,0.104803669399286
HB_BUSAVG,2018-11,30.644499999999972,9.3,108.07,11.598420053307366,0.13508394266748766
HB_BUSAVG,2018-12,30.268185483870955,6.64,117.74,10.12306655686283,0.14765155239979352
HB_BUSAVG,2019-01,24.59256720430107,5.72,75.28,8.130355147669793,0.1408248820324826
HB_BUSAVG,2019-02,21.186369047619046,5.06,56.68,7.013010151618254,0.1524280366666021
HB_BUSAVG,2019-03,27.565720053835797,7.31,675.6,34.263891687476466,0.16875288259654803
HB_BUSAVG,2019-04,22.613180555555562,5.34,102.53,11.853101342168468,0.15350617602110964
HB_BUSAVG,2019-05,23.959932795698922,9.46,67.19,8.56029861498486,0.09752692206163294
HB_BUSAVG,2019-06,25.08554166666668,8.72,102.2,13.65156852566975,0.11612138058923198
HB_BUSAVG,2019-07,29.72962365591398,11.28,274.56,26.861157291822355,0.15498437869289497
HB_BUSAVG,2019-08,126.38408602150527,10.04,3499.84,401.206306600097,0.46950652211105115
HB_BUSAVG,2019-09,79.61562499999994,7.88,5008.32,380.21393107678983,0.32134255696684194
HB_BUSAVG,2019-10,28.247056451612934,6.39,851.45,53.26734427541532,0.20287307208662883
HB_BUSAVG,2019-11,23.46837500000001,3.26,203.7,14.6383935520287,0.20313058294235234
HB_BUSAVG,2019-12,18.715080645161272,3.74,59.84,6.744975917531292,0.15733912683646978
HB_HOUSTON,2016-01,19.565725806451617,5.19,54.55,5.648747381728994,0.13549554693231938
HB_HOUSTON,2016-02,15.464540229885062,2.1,50.75,5.811656068895288,0.18678494499218756
HB_HOUSTON,2016-03,17.12495289367428,1.36,72.32,7.704735965516086,0.18984644207837797
HB_HOUSTON,2016-04,18.940958333333334,1.26,99.0,10.265435546159956,0.203670651820753
HB_HOUSTON,2016-05,19.17408602150539,3.04,73.62,9.380178378071195,0.1490544324078385
HB_HOUSTON,2016-06,26.255736111111084,4.31,141.0,15.324347268547497,0.1423644081376379
HB_HOUSTON,2016-07,29.53892473118277,10.08,101.38,14.97887668089681,0.12477859007444135
HB_HOUSTON,2016-08,32.9725403225807,13.49,269.69,33.121781875193165,0.16015011853130043
HB_HOUSTON,2016-09,28.742416666666674,11.49,211.23,16.821039643259613,0.11515831404008017
